[2022-10-08T11:41:28.009+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: my_dags.print_hey scheduled__2022-10-08T09:01:00+00:00 [queued]>
[2022-10-08T11:41:28.095+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: my_dags.print_hey scheduled__2022-10-08T09:01:00+00:00 [queued]>
[2022-10-08T11:41:28.096+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-10-08T11:41:28.096+0000] {taskinstance.py:1363} INFO - Starting attempt 1 of 1
[2022-10-08T11:41:28.096+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-10-08T11:41:28.187+0000] {taskinstance.py:1383} INFO - Executing <Task(PythonOperator): print_hey> on 2022-10-08 09:01:00+00:00
[2022-10-08T11:41:28.198+0000] {standard_task_runner.py:54} INFO - Started process 29724 to run task
[2022-10-08T11:41:28.210+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'my_dags', 'print_hey', 'scheduled__2022-10-08T09:01:00+00:00', '--job-id', '1098', '--raw', '--subdir', 'DAGS_FOLDER/my_dags.py', '--cfg-path', '/tmp/tmpbopxdfd4']
[2022-10-08T11:41:28.212+0000] {standard_task_runner.py:83} INFO - Job 1098: Subtask print_hey
[2022-10-08T11:41:28.212+0000] {dagbag.py:525} INFO - Filling up the DagBag from /opt/***/dags/my_dags.py
[2022-10-08T11:41:28.318+0000] {dagbag.py:330} ERROR - Failed to import: /opt/***/dags/my_dags.py
Traceback (most recent call last):
  File "/home/airflow/.local/lib/python3.7/site-packages/airflow/models/dagbag.py", line 326, in parse
    loader.exec_module(new_module)
  File "<frozen importlib._bootstrap_external>", line 728, in exec_module
  File "<frozen importlib._bootstrap>", line 219, in _call_with_frames_removed
  File "/opt/airflow/dags/my_dags.py", line 32, in <module>
    t1 >>[echo_hello, prin]
NameError: name 'prin' is not defined
[2022-10-08T11:41:29.008+0000] {taskmixin.py:205} WARNING - Dependency <Task(BashOperator): create_entry_group>, delete_entry_group already registered for DAG: example_complex
[2022-10-08T11:41:29.008+0000] {taskmixin.py:205} WARNING - Dependency <Task(BashOperator): delete_entry_group>, create_entry_group already registered for DAG: example_complex
[2022-10-08T11:41:29.008+0000] {taskmixin.py:205} WARNING - Dependency <Task(BashOperator): create_entry_gcs>, delete_entry already registered for DAG: example_complex
[2022-10-08T11:41:29.008+0000] {taskmixin.py:205} WARNING - Dependency <Task(BashOperator): delete_entry>, create_entry_gcs already registered for DAG: example_complex
[2022-10-08T11:41:29.009+0000] {taskmixin.py:205} WARNING - Dependency <Task(BashOperator): create_tag>, delete_tag already registered for DAG: example_complex
[2022-10-08T11:41:29.009+0000] {taskmixin.py:205} WARNING - Dependency <Task(BashOperator): delete_tag>, create_tag already registered for DAG: example_complex
[2022-10-08T11:41:29.014+0000] {taskmixin.py:205} WARNING - Dependency <Task(GetRequestOperator): get_ip>, prepare_email already registered for DAG: example_dag_decorator
[2022-10-08T11:41:29.015+0000] {taskmixin.py:205} WARNING - Dependency <Task(_PythonDecoratedOperator): prepare_email>, get_ip already registered for DAG: example_dag_decorator
[2022-10-08T11:41:29.015+0000] {taskmixin.py:205} WARNING - Dependency <Task(GetRequestOperator): get_ip>, prepare_email already registered for DAG: example_dag_decorator
[2022-10-08T11:41:29.015+0000] {taskmixin.py:205} WARNING - Dependency <Task(_PythonDecoratedOperator): prepare_email>, get_ip already registered for DAG: example_dag_decorator
[2022-10-08T11:41:29.015+0000] {taskmixin.py:205} WARNING - Dependency <Task(GetRequestOperator): get_ip>, prepare_email already registered for DAG: example_dag_decorator
[2022-10-08T11:41:29.015+0000] {taskmixin.py:205} WARNING - Dependency <Task(_PythonDecoratedOperator): prepare_email>, get_ip already registered for DAG: example_dag_decorator
[2022-10-08T11:41:29.016+0000] {taskmixin.py:205} WARNING - Dependency <Task(GetRequestOperator): get_ip>, prepare_email already registered for DAG: example_dag_decorator
[2022-10-08T11:41:29.016+0000] {taskmixin.py:205} WARNING - Dependency <Task(_PythonDecoratedOperator): prepare_email>, get_ip already registered for DAG: example_dag_decorator
[2022-10-08T11:41:29.016+0000] {taskmixin.py:205} WARNING - Dependency <Task(GetRequestOperator): get_ip>, prepare_email already registered for DAG: example_dag_decorator
[2022-10-08T11:41:29.016+0000] {taskmixin.py:205} WARNING - Dependency <Task(_PythonDecoratedOperator): prepare_email>, get_ip already registered for DAG: example_dag_decorator
